Time,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,P,Q,R,Phi,Theta,Psi,Class
114,5852.135163,6077.666057,6174.783129,6271.900201,6046.369307,5949.252235,0.297052697,0.086486294,-0.002118701,0.324012054,0.358534214,0.157162135,0
115,5852.68768,6076.494696,6173.92119,6271.347684,6047.540668,5950.114174,0.289558343,0.0848454,-0.002616554,0.327040388,0.359353437,0.157430808,0
116,5853.561997,6075.001536,6172.737452,6270.473368,6049.033828,5951.297912,0.280858181,0.083218992,-0.003142495,0.32998534,0.360158092,0.157691375,0
117,5854.731289,6073.213401,6171.258738,6269.304075,6050.821963,5952.776626,0.270684462,0.081606939,-0.003702559,0.332833311,0.360948492,0.157943398,0
118,5856.173617,6071.15223,6169.506989,6267.861748,6052.883134,5954.528375,0.258806915,0.080009161,-0.004301925,0.335568193,0.361724969,0.158186376,0
119,5857.87122,6068.835784,6167.499964,6266.164144,6055.19958,5956.5354,0.245029679,0.078425623,-0.004944981,0.338171727,0.362487875,0.158419753,0
120,5859.809901,6066.278261,6165.251862,6264.225463,6057.757104,5958.783502,0.229188365,0.07685634,-0.005635392,0.340623838,0.363237582,0.158642926,0
121,5861.978479,6063.490841,6162.773863,6262.056885,6060.544524,5961.261501,0.211147255,0.075301382,-0.006376165,0.342902938,0.363974472,0.158855246,0
122,5864.368312,6060.482166,6160.074609,6259.667052,6063.553199,5963.960756,0.190796654,0.073760878,-0.007169706,0.344986199,0.364698942,0.159056034,0
123,5866.972876,6057.25876,6157.160624,6257.062488,6066.776605,5966.874741,0.168050397,0.072235014,-0.008017878,0.346849806,0.365411399,0.159244577,0
124,5869.787388,6053.825406,6154.036691,6254.247976,6070.209958,5969.998673,0.142843527,0.070724042,-0.008922054,0.348469179,0.366112258,0.159420142,0
125,5872.808475,6050.185478,6150.706184,6251.22689,6073.849886,5973.329181,0.11513014,0.069228285,-0.009883167,0.349819178,0.366801935,0.159581974,0
126,5876.033874,6046.341237,6147.171364,6248.00149,6077.694127,5976.864001,0.084881412,0.067748136,-0.010901752,0.350874287,0.367480851,0.159729307,0
127,5879.462171,6042.294099,6143.433646,6244.573193,6081.741265,5980.601718,0.052083806,0.066284063,-0.011977993,0.351608772,0.368149424,0.159861362,0
128,5883.092555,6038.044874,6139.493842,6240.94281,6085.99049,5984.541522,0.016737459,0.064836613,-0.013111753,0.351996833,0.368808069,0.159977358,0
129,5886.924601,6033.593986,6135.352375,6237.110763,6090.441378,5988.68299,-0.021145245,0.063406413,-0.014302613,0.352012731,0.369457194,0.160076509,0
130,5890.958076,6028.941671,6131.00948,6233.077289,6095.093694,5993.025885,-0.061540926,0.061994171,-0.015549899,0.351630904,0.370097194,0.160158032,0
131,5895.192746,6024.08816,6126.465389,6228.842619,6099.947205,5997.569975,-0.104416271,0.060600676,-0.016852706,0.350826079,0.370728453,0.160221147,0
132,5899.628213,6019.033852,6121.720502,6224.407152,6105.001513,6002.314863,-0.149728922,0.059226798,-0.018209917,0.34957336,0.371351337,0.160265082,0
133,5904.263753,6013.77947,6116.775541,6219.771611,6110.255894,6007.259824,-0.197428194,0.057873486,-0.019620224,0.347848321,0.371966194,0.160289074,0
134,5909.098166,6008.326216,6111.631707,6214.937198,6115.709148,6012.403657,-0.24745562,0.056541764,-0.02108214,0.345627086,0.372573348,0.160292371,0
135,5914.116177,6002.689365,6106.304276,6209.919188,6121.346,6017.731088,-0.299745335,0.055232731,-0.022594006,0.342886404,0.373173096,0.160274236,0
136,5918.806927,5997.379774,6101.304106,6205.228438,6126.655591,6022.731259,-0.35401202,0.053947601,-0.024149192,0.33960428,0.373765703,0.160233962,0
137,5922.919356,5992.648504,6096.882256,6201.116009,6131.386861,6027.153108,-0.409473279,0.052687698,-0.025729817,0.335764494,0.374351365,0.160170974,0
138,5926.524765,5988.424254,6092.967426,6197.510599,6135.611111,6031.067938,-0.465330209,0.051454254,-0.027317629,0.331359001,0.374930191,0.160084892,0
139,5929.685665,5984.644513,6089.497106,6194.349699,6139.390852,6034.538258,-0.52086446,0.050248299,-0.028896214,0.326387405,0.375502209,0.159975524,0
140,5932.456859,5981.254478,6086.416492,6191.578506,6142.780886,6037.618872,-0.575436837,0.049070598,-0.03045096,0.320856165,0.37606737,0.159842849,0
141,5934.886393,5978.206103,6083.677538,6189.148972,6145.829261,6040.357827,-0.628485319,0.047921591,-0.031969022,0.314777799,0.376625558,0.159687006,0
142,5937.016391,5975.457265,6081.238119,6187.018974,6148.5781,6042.797245,-0.679522546,0.046801355,-0.033439266,0.308170126,0.377176597,0.159508279,0
143,5938.883782,5972.971033,6079.061308,6185.151582,6151.064332,6044.974057,-0.728132867,0.045709577,-0.0348522,0.301055525,0.377720258,0.15930708,0
144,5940.520943,5970.715031,6077.114726,6183.514421,6153.320334,6046.920639,-0.773968995,0.044645546,-0.036199902,0.293460229,0.378256267,0.159083936,0
145,5941.95626,5968.660874,6075.369989,6182.079105,6155.374491,6048.665375,-0.81674836,0.043608159,-0.037475939,0.285413658,0.378784315,0.158839477,0
146,5943.214616,5966.783676,6073.802212,6180.820748,6157.251688,6050.233152,-0.856249203,0.042595944,-0.038675275,0.276947784,0.37930406,0.158574417,0
147,5944.317831,5965.061621,6072.389577,6179.717534,6158.973743,6051.645787,-0.892306483,0.041607092,-0.039794177,0.268096536,0.379815139,0.158289546,0
